"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","158","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [8] TestUser9, nouppercase1!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","Sat Nov 08 19:50:26 UTC 2025","passed","Sat Nov 08 19:50:26 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","4798","userCannotChangeTheirNameUsingInvalidName(String, String) [1] Newname, Name must contain two words with letters only","","Sat Nov 08 19:50:36 UTC 2025","passed","Sat Nov 08 19:50:40 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCannotChangeTheirNameUsingInvalidName"
"","524","adminCannotCreateUserWhoIsAlreadyExist()","","Sat Nov 08 19:50:28 UTC 2025","passed","Sat Nov 08 19:50:29 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWhoIsAlreadyExist"
"","3324","userCannotChangeTheirNameUsingInvalidName(String, String) [3] New name!, Name must contain two words with letters only","","Sat Nov 08 19:50:34 UTC 2025","passed","Sat Nov 08 19:50:37 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCannotChangeTheirNameUsingInvalidName"
"","219","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [9] TestUser10, NOLOWERCASE1!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","Sat Nov 08 19:50:26 UTC 2025","passed","Sat Nov 08 19:50:27 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","2023","userCannotChangeTheirNameUsingInvalidName(String, String) [4] , Name must contain two words with letters only","","Sat Nov 08 19:50:32 UTC 2025","passed","Sat Nov 08 19:50:34 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCannotChangeTheirNameUsingInvalidName"
"","6108","userCanCreateAccount()","","Sat Nov 08 19:50:21 UTC 2025","passed","Sat Nov 08 19:50:27 UTC 2025","","api.CreateAccountApiTest","api.CreateAccountApiTest","userCanCreateAccount"
"","254","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [5] TestUser6, TestUser16, SUPERADMIN, role, Role must be either 'ADMIN' or 'USER'","","Sat Nov 08 19:50:25 UTC 2025","passed","Sat Nov 08 19:50:26 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","26802","userCannotTransferMoney()","","Sat Nov 08 19:50:41 UTC 2025","passed","Sat Nov 08 19:51:07 UTC 2025","","ui.TransferMoneyUiTest","ui.TransferMoneyUiTest","userCannotTransferMoney"
"","13124","userCanTransferMoney(Float, Float, Float, Float) [3] 9999.0, 5000.0, 10000.0, 9999.0","","Sat Nov 08 19:50:44 UTC 2025","passed","Sat Nov 08 19:50:57 UTC 2025","","api.TransferMoneyApiTest","api.TransferMoneyApiTest","userCanTransferMoney"
"","208","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [1] , TestUser2!, USER, username, Username cannot be blank","","Sat Nov 08 19:50:28 UTC 2025","passed","Sat Nov 08 19:50:28 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","342","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [3] TestUserUserUser, TestUser4!, USER, username, Username must be between 3 and 15 characters","","Sat Nov 08 19:50:27 UTC 2025","passed","Sat Nov 08 19:50:28 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
