"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5788","userCannotTransferMoney(Float, Float, Float, String) [2] -1.0, 1.0, 2.0, Transfer amount must be at least 0.01","","Sat Nov 08 20:05:54 UTC 2025","passed","Sat Nov 08 20:06:00 UTC 2025","","api.TransferMoneyApiTest","api.TransferMoneyApiTest","userCannotTransferMoney"
"","1241","userCanChangeTheirNameUsingValidName(String) [6] New n","","Sat Nov 08 20:05:49 UTC 2025","passed","Sat Nov 08 20:05:51 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCanChangeTheirNameUsingValidName"
"","4781","userCannotTransferMoney(Float, Float, Float, String) [1] 1000.0, 100.0, 200.0, Invalid transfer: insufficient funds or invalid accounts","","Sat Nov 08 20:05:50 UTC 2025","passed","Sat Nov 08 20:05:54 UTC 2025","","api.TransferMoneyApiTest","api.TransferMoneyApiTest","userCannotTransferMoney"
"","2013","userCanChangeTheirNameUsingValidName(String) [2] NEW NAME","","Sat Nov 08 20:05:52 UTC 2025","passed","Sat Nov 08 20:05:54 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCanChangeTheirNameUsingValidName"
"","279","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [12] TestUser13, , USER, password, Password cannot be blank","","Sat Nov 08 20:05:50 UTC 2025","passed","Sat Nov 08 20:05:50 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","4478","userCannotChangeTheirNameUsingInvalidName(String, String) [1] Newname, Name must contain two words with letters only","","Sat Nov 08 20:06:00 UTC 2025","passed","Sat Nov 08 20:06:04 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCannotChangeTheirNameUsingInvalidName"
"","25965","adminCanCreateUserWithValidCredentials()","","Sat Nov 08 20:05:58 UTC 2025","passed","Sat Nov 08 20:06:24 UTC 2025","","ui.CreateUserUiTest","ui.CreateUserUiTest","adminCanCreateUserWithValidCredentials"
"","9715","userCanTransferMoney(Float, Float, Float, Float) [1] 10.0, 50.0, 50.0, 10.0","","Sat Nov 08 20:06:06 UTC 2025","passed","Sat Nov 08 20:06:16 UTC 2025","","api.TransferMoneyApiTest","api.TransferMoneyApiTest","userCanTransferMoney"
"","209","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [5] TestUser6, TestUser16, SUPERADMIN, role, Role must be either 'ADMIN' or 'USER'","","Sat Nov 08 20:05:48 UTC 2025","passed","Sat Nov 08 20:05:48 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","10421","adminCanLoginWithValidCredentials()","","Sat Nov 08 20:06:06 UTC 2025","passed","Sat Nov 08 20:06:17 UTC 2025","","ui.LoginUserUiTest","ui.LoginUserUiTest","adminCanLoginWithValidCredentials"
"","263","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [10] TestUser11, NoNumber!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","Sat Nov 08 20:05:49 UTC 2025","passed","Sat Nov 08 20:05:49 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","21041","userCannotChangeTheirNameUsingInvalidName()","","Sat Nov 08 20:05:59 UTC 2025","passed","Sat Nov 08 20:06:20 UTC 2025","","ui.UpdateCustomerNameUiTest","ui.UpdateCustomerNameUiTest","userCannotChangeTheirNameUsingInvalidName"
"","206","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [1] , TestUser2!, USER, username, Username cannot be blank","","Sat Nov 08 20:05:50 UTC 2025","passed","Sat Nov 08 20:05:51 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","14687","userCanCreateAccount()","","Sat Nov 08 20:05:58 UTC 2025","passed","Sat Nov 08 20:06:13 UTC 2025","","ui.CreateAccountUiTest","ui.CreateAccountUiTest","userCanCreateAccount"
"","24858","userCannotTransferMoney()","","Sat Nov 08 20:06:06 UTC 2025","passed","Sat Nov 08 20:06:30 UTC 2025","","ui.TransferMoneyUiTest","ui.TransferMoneyUiTest","userCannotTransferMoney"
"","1709","userCannotDepositMoney(Float, String) [1] -0.01, Deposit amount must be at least 0.01","","Sat Nov 08 20:05:55 UTC 2025","passed","Sat Nov 08 20:05:56 UTC 2025","","api.DepositMoneyApiTest","api.DepositMoneyApiTest","userCannotDepositMoney"
"","321","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [11] TestUser12, With spaces1!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","Sat Nov 08 20:05:49 UTC 2025","passed","Sat Nov 08 20:05:50 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","554","adminCannotCreateUserWhoIsAlreadyExist()","","Sat Nov 08 20:05:51 UTC 2025","passed","Sat Nov 08 20:05:51 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWhoIsAlreadyExist"
"","215","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [3] TestUserUserUser, TestUser4!, USER, username, Username must be between 3 and 15 characters","","Sat Nov 08 20:05:50 UTC 2025","passed","Sat Nov 08 20:05:50 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","24387","userCanTransferMoney()","","Sat Nov 08 20:06:06 UTC 2025","passed","Sat Nov 08 20:06:31 UTC 2025","","ui.TransferMoneyUiTest","ui.TransferMoneyUiTest","userCanTransferMoney"
"","2427","userCanDepositMoney(Float) [2] 4999.0","","Sat Nov 08 20:05:52 UTC 2025","passed","Sat Nov 08 20:05:54 UTC 2025","","api.DepositMoneyApiTest","api.DepositMoneyApiTest","userCanDepositMoney"
"","1576","userCanChangeTheirNameUsingValidName(String) [1] New Name","","Sat Nov 08 20:05:51 UTC 2025","passed","Sat Nov 08 20:05:52 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCanChangeTheirNameUsingValidName"
"","1665","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [4] TestUser5#, TestUser5!, USER, username, Username must contain only letters, digits, dashes, underscores, and dots","","Sat Nov 08 20:05:46 UTC 2025","passed","Sat Nov 08 20:05:48 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","11953","userCannotTransferMoney(Float, Float, Float, String) [3] 0.0, 1.0, 2.0, Transfer amount must be at least 0.01","","Sat Nov 08 20:06:00 UTC 2025","passed","Sat Nov 08 20:06:12 UTC 2025","","api.TransferMoneyApiTest","api.TransferMoneyApiTest","userCannotTransferMoney"
"","282","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [9] TestUser10, NOLOWERCASE1!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","Sat Nov 08 20:05:49 UTC 2025","passed","Sat Nov 08 20:05:49 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","1610","userCanChangeTheirNameUsingValidName(String) [3] N N","","Sat Nov 08 20:05:54 UTC 2025","passed","Sat Nov 08 20:05:56 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCanChangeTheirNameUsingValidName"
"","6404","userCannotTransferMoney(Float, Float, Float, String) [4] 10001.0, 5000.0, 11000.0, Transfer amount cannot exceed 10000","","Sat Nov 08 20:05:43 UTC 2025","passed","Sat Nov 08 20:05:50 UTC 2025","","api.TransferMoneyApiTest","api.TransferMoneyApiTest","userCannotTransferMoney"
