"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20551","userCannotTransferMoney()","","Wed Dec 03 19:19:23 UTC 2025","passed","Wed Dec 03 19:19:44 UTC 2025","","ui.TransferMoneyUiTest","ui.TransferMoneyUiTest","userCannotTransferMoney"
"","1063","userCanChangeTheirNameUsingValidName(String) [6] New n","","Wed Dec 03 19:19:03 UTC 2025","passed","Wed Dec 03 19:19:04 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCanChangeTheirNameUsingValidName"
"","2117","userCannotChangeTheirNameUsingInvalidName(String, String) [2] New name1, Name must contain two words with letters only","","Wed Dec 03 19:19:09 UTC 2025","passed","Wed Dec 03 19:19:12 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCannotChangeTheirNameUsingInvalidName"
"","17329","userCannotChangeTheirNameUsingInvalidName()","","Wed Dec 03 19:19:10 UTC 2025","passed","Wed Dec 03 19:19:27 UTC 2025","","ui.UpdateCustomerNameUiTest","ui.UpdateCustomerNameUiTest","userCannotChangeTheirNameUsingInvalidName"
"","226","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [11] TestUser12, With spaces1!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","Wed Dec 03 19:19:03 UTC 2025","passed","Wed Dec 03 19:19:03 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","13242","userCanChangeTheirNameUsingValidName()","","Wed Dec 03 19:18:57 UTC 2025","passed","Wed Dec 03 19:19:10 UTC 2025","","ui.UpdateCustomerNameUiTest","ui.UpdateCustomerNameUiTest","userCanChangeTheirNameUsingValidName"
"","1188","userCannotDepositMoney(Float, String) [2] 0.0, Deposit amount must be at least 0.01","","Wed Dec 03 19:19:08 UTC 2025","passed","Wed Dec 03 19:19:09 UTC 2025","","api.DepositMoneyApiTest","api.DepositMoneyApiTest","userCannotDepositMoney"
"","919","userCanChangeTheirNameUsingValidName(String) [5] N name","","Wed Dec 03 19:19:02 UTC 2025","passed","Wed Dec 03 19:19:03 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCanChangeTheirNameUsingValidName"
"","17411","userCanTransferMoney()","","Wed Dec 03 19:19:24 UTC 2025","passed","Wed Dec 03 19:19:41 UTC 2025","","ui.TransferMoneyUiTest","ui.TransferMoneyUiTest","userCanTransferMoney"
"","4214","userCanTransferMoney(Float, Float, Float, Float) [1] 10.0, 50.0, 50.0, 10.0","","Wed Dec 03 19:19:11 UTC 2025","passed","Wed Dec 03 19:19:16 UTC 2025","","api.TransferMoneyApiTest","api.TransferMoneyApiTest","userCanTransferMoney"
